,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,CRIMINAL CASES,CATEGORY,EDUCATION,ASSETS,LIABILITIES,WINNER,AGE,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER
493,Jharkhand,CHATRA,SUBHASH PRASAD YADAV,RJD,Hurricane Lamp,3,GENERAL,Graduate,53288310,5208407,0.0,52.0,82991.0,434.0,83425.0,5.853490484,9.009607368,1425218.0,MALE
494,Jharkhand,CHATRA,ARJUN KUMAR,CPI(M),Ears of Corn And Sickle,2,GENERAL,10th Pass,4518000,90000,0.0,40.0,22558.0,19.0,22577.0,1.584108536,2.438236806,1425218.0,MALE
495,Jharkhand,CHATRA,NAGESHWAR GANJHU,BSP,Elephant,0,GENERAL,Literate,101166000,0,0.0,36.0,18797.0,91.0,18888.0,1.325270941,2.039837746,1425218.0,MALE
496,Jharkhand,CHATRA,NANDLAL PRASAD,IND,Sewing Machine,0,GENERAL,Graduate,16156581,450000,0.0,43.0,15855.0,4.0,15859.0,1.112742051,1.712716371,1425218.0,MALE
497,Jharkhand,CHATRA,JAIDULA ANSARI,IND,Scissors,0,GENERAL,Literate,6925000,100000,0.0,66.0,13090.0,0.0,13090.0,0.918455984,1.413674084,1425218.0,MALE
498,Jharkhand,CHATRA,RAJENDRA SAHU,IND,Truck,0,GENERAL,10th Pass,84976547,58992436,0.0,41.0,11148.0,76.0,11224.0,0.787528645,1.212152629,1425218.0,MALE
499,Tamil Nadu,CHENNAI CENTRAL,DAYANIDHI MARAN,DMK,Rising Sun,1,GENERAL,Graduate,116790616,0,1.0,52.0,447150.0,1761.0,448911.0,33.69443819,57.13102142,1332300.0,MALE
500,Tamil Nadu,CHENNAI CENTRAL,SAM PAUL. S.R.,PMK,Mango,0,GENERAL,Post Graduate,299512500,258028373,0.0,41.0,146813.0,578.0,147391.0,11.06289875,18.7578348,1332300.0,MALE
501,Tamil Nadu,CHENNAI CENTRAL,KAMEELA NASSER,MNM,Battery Torch,0,GENERAL,Post Graduate,71905468,9490525,0.0,54.0,92047.0,202.0,92249.0,6.924041132,11.74014358,1332300.0,FEMALE
502,Tamil Nadu,CHENNAI CENTRAL,Dr.KARTHIKEYAN. R,NTK,Ganna Kisan,0,GENERAL,Post Graduate,17606805,10680758,0.0,31.0,30809.0,77.0,30886.0,2.318246641,3.930731766,1332300.0,MALE
503,Tamil Nadu,CHENNAI CENTRAL,SHEIK MOHAMED @ DHEHLAN BAQAVI,SDPI,Gift Pack,3,GENERAL,Others,2274313,0,0.0,48.0,23690.0,51.0,23741.0,1.781956016,3.021417563,1332300.0,MALE
505,Tamil Nadu,CHENNAI NORTH,Dr. KALANIDHI VEERASWAMY,DMK,Rising Sun,0,GENERAL,Post Graduate,405294714,258386550,1.0,49.0,589034.0,1952.0,590986.0,39.72531746,61.82308137,1487681.0,MALE
506,Tamil Nadu,CHENNAI NORTH,ALAGAAPURAM R. MOHANRAJ,DMDK,Nagara,6,GENERAL,12th Pass,45742218,2831960,0.0,65.0,129076.0,392.0,129468.0,8.702672145,13.54365535,1487681.0,MALE
507,Tamil Nadu,CHENNAI NORTH,A. G. MOURYA,MNM,Battery Torch,0,GENERAL,Post Graduate,41590000,12497000,0.0,62.0,102980.0,187.0,103167.0,6.934752813,10.79230614,1487681.0,MALE
508,Tamil Nadu,CHENNAI NORTH,KALIYAMMAL.P,NTK,Ganna Kisan,3,GENERAL,Graduate,1157000,130000,0.0,33.0,60411.0,104.0,60515.0,4.067740329,6.330477827,1487681.0,FEMALE
509,Tamil Nadu,CHENNAI NORTH,P.SANTHANA KRISHNAN,IND,Gift Pack,0,GENERAL,10th Pass,14263825,0,0.0,44.0,33232.0,45.0,33277.0,2.236837064,3.481108992,1487681.0,MALE
